messageKey,,en,de,es,fr,pt,ru,zh_CN
material.data.accidentlogs,Accident Logs,Accident Logs,Unfall-Logs,Registros de accidentes,Journaux d’accidents,Registros de acidente,Журнал происшествий,Accident Logs
material.data.airqualityreports,Air Quality Reports,Air Quality Reports,Berichte zur Luftqualität,Registros de calidad del aire,Rapports de qualité de l’air,Relatórios de qualidade do ar,Отчеты о качестве воздуха,Air Quality Reports
material.data.atmosphericdata,Atmospheric Data,Atmospheric Data,Atmosphärische Daten,Datos atmosféricos,Données atmosphériques,Dados atmosféricos,Атмосферные данные,Atmospheric Data
material.data.audiologs,Audio Logs,Audio Logs,Audio-Logs,Registros de audio,Journaux audio,Registros de áudio,Аудиозаписи,Audio Logs
material.data.axcombatlogs,AX Combat Logs,AX Combat Logs,AX-Kampf-Logs,Registros de combate AX,Journaux de combat AX,Registros de combate AX,Боевой журнал АИ,AX Combat Logs
material.data.ballisticsdata,Ballistics Data,Ballistics Data,Ballistische Daten,Datos balísticos,Données balistiques,Dados balísticos,Баллистические данные,Ballistics Data
material.data.biologicalweapondata,Biological Weapon Data,Biological Weapon Data,Biowaffen-Daten,Datos de armas biológicas,Données d’arme biologique,Dados de arma biológica,Данные о биологическом оружии,Biological Weapon Data
material.data.biometricdata,Biometric Data,Biometric Data,Biometrische Daten,Datos biométricos,Données biométriques,Dados Biométricos,Биометрические данные,Biometric Data
material.data.blacklistdata,Blacklist Data,Blacklist Data,Daten der Schwarzen Liste,Datos de lista negra,Liste noire,Dados de lista negra,Черный список,Blacklist Data
material.data.bloodtestresults,Blood Test Results,Blood Test Results,Bluttest-Ergebnisse,Resultados de análisis de sangre,Résultats de tests sanguins,Resultados de exames de sangue,Результаты анализа крови,Blood Test Results
material.data.campaignplans,Campaign Plans,Campaign Plans,Kampagnenpläne,Planes de campaña,Plans de campagne,Planos de campanha,План кампании,Campaign Plans
material.data.catmedia,Cat Media,Cat Media,Katzen-Medien,Catálogo de medios,Médiathèque féline,Mídias de gatinhos,Медиаконтент с котиками,Cat Media
material.data.censusdata,Census Data,Census Data,Zensusdaten,Datos censales,Données de recensement,Dados de recenseamento,Данные переписи населения,Census Data
material.data.chemicalexperimentdata,Chemical Experiment Data,Chemical Experiment Data,Chemieexperiment-Daten,Datos de experimentos químicos,Données d’expériences chimiques,Dados de experimentos químicos,Данные о химических экспериментах,Chemical Experiment Data
material.data.chemicalformulae,Chemical Formulae,Chemical Formulae,Chemische Formeln,Fórmulas químicas,Formules chimiques,Fórmulas químicas,Химические формулы,Chemical Formulae
material.data.chemicalinventory,Chemical Inventory,Chemical Inventory,Chemische Bestandsliste,Inventario químico,Inventaire chimique,Estoque químico,Опись химикатов,Chemical Inventory
material.data.chemicalpatents,Chemical Patents,Chemical Patents,Chemische Patente,Patentes químicas,Brevets chimiques,Patentes químicas,Химические патенты,Chemical Patents
material.data.chemicalweapondata,Chemical Weapon Data,Chemical Weapon Data,Chemiewaffen-Daten,Datos de armas químicas,Données d’armes chimiques,Dados de armas químicas,Данные о химическом оружии,Chemical Weapon Data
material.data.classicentertainment,Classic Entertainment,Classic Entertainment,Klassische Unterhaltung,Entretenimiento clásico,Médiathèque classique,Entretenimento clássico,Классические развлечения,Classic Entertainment
material.data.cocktailrecipes,Cocktail Recipes,Cocktail Recipes,Cocktail-Rezepte,Recetas de cócteles,Recettes de cocktails,Receitas de coquetéis,Рецепты коктейлей,Cocktail Recipes
material.data.combatantperformance,Combatant Performance,Combatant Performance,Kampfleistung,Rendimiento de combatiente,Performances de combat,Desempenho em combate,Боевые характеристики,Combatant Performance
material.data.combattrainingmaterial,Combat Training Material,Combat Training Material,Kampftraining-Materialien,Material de entrenamiento de combate,Méthodes d’entraînement au combat,Material de treinamento para combate,Учебные материалы по боевой подготовке,Combat Training Material
material.data.conflicthistory,Conflict History,Conflict History,Konflikthistorie,Historial de conflictos,Historique de conflit,Histórico de conflito,История конфликта,Conflict History
material.data.criminalrecords,Criminal Records,Criminal Records,Strafakten,Registros criminales,Casiers judiciaires,Registros criminais,Досье,Criminal Records
material.data.cropyieldanalysis,Crop Yield Analysis,Crop Yield Analysis,Ernteertrag-Analyse,Análisis de producción agrícola,Analyse de rendement agricole,Análise de rendimento agrícola,Анализ урожая,Crop Yield Analysis
material.data.culinaryrecipes,Culinary Recipes,Culinary Recipes,Kulinarische Rezepte,Recetas culinarias,Recettes culinaires,Receitas culinárias,Кулинарные рецепты,Culinary Recipes
material.data.digitaldesigns,Digital Designs,Digital Designs,Digitale Konzepte,Diseños digitales,Plans numériques,Projetos digitais,Дизайнерский проект,Digital Designs
material.data.dutyrota,Duty Rota,Duty Rota,Dienstpläne,Turnos de guardia,Planning professionnel,Escala de trabalho,График дежурств,Duty Rota
material.data.employeedirectory,Employee Directory,Employee Directory,Mitarbeiterverzeichnis,Directorio de empleados,Registre des employés,Lista de funcionários,Досье работников,Employee Directory
material.data.employeeexpenses,Employee Expenses,Employee Expenses,Aufwendungen für Mitarbeiter,Gastos de personal,Notes de frais,Despesas com funcionários,Расходы работников,Employee Expenses
material.data.employeegeneticdata,Employee Genetic Data,Employee Genetic Data,Gen-Daten von Mitarbeitern,Datos genéticos de empleados,Données génétiques d’employés,Dados genéticos dos funcionários,Генетические данные работников,Employee Genetic Data
material.data.employmenthistory,Employment History,Employment History,Beschäftigungshistorie,Historial de empleo,Expérience professionnelle,Histórico profissional,История трудоустройства,Employment History
material.data.enhancedinterrogationrecordings,Enhanced Interrogation Recordings,Enhanced Interrogation Recordings,Optimierte Vernehmungsaufzeichnungen,Registros de interrogatorios mejorados,Enregistrements d’interrogatoires poussés,Gravações de interrogatório avançado,Расширенный протокол допроса,Enhanced Interrogation Recordings
material.data.espionagematerial,Espionage Material,Espionage Material,Spionagematerial,Material de espionaje,Documents confidentiels,Material de espionagem,Разведданные,Espionage Material
material.data.evacuationprotocols,Evacuation Protocols,Evacuation Protocols,Evakuierungsprotokolle,Protocolos de evacuación,Protocoles d’évacuation,Protocolos de evacuação,Алгоритм эвакуации,Evacuation Protocols
material.data.explorationjournals,Exploration Journals,Exploration Journals,Erkundungstagebücher,Diarios de exploración,Journaux d’exploration,Diários de exploração,Исследовательские дневники,Exploration Journals
material.data.extractionyielddata,Extraction Yield Data,Extraction Yield Data,Daten zur Förderungsausbeute,Datos de producción minera,Données de rendement minier,Dados de produção extrativa,Данные об объеме добычи,Extraction Yield Data
material.data.factionassociates,Faction Associates,Faction Associates,Fraktionspartner,Socios de facción,Affiliations d’une faction,Associados da facção,Партнеры фракции,Faction Associates
material.data.factiondonatorlist,Faction Donator List,Faction Donator List,Spenderliste einer Fraktion,Lista de donadores de facción,Liste des donateurs d’une faction,Lista de doadores da facção,Список спонсоров фракции,Faction Donator List
material.data.factionnews,Faction News,Faction News,Fraktionsnachrichten,Noticias de facción,Actualité d’une faction,Notícias sobre a facção,Новости фракции,Faction News
material.data.financialprojections,Financial Projections,Financial Projections,Finanzprognosen,Previsiones financieras,Projections financières,Projeções financeiras,Финансовые прогнозы,Financial Projections
material.data.fleetregistry,Fleet Registry,Fleet Registry,Flottenliste,Registro de flota,Registre de flotte,Registro de frota,Реестр флота,Fleet Registry
material.data.genesequencingdata,Gene Sequencing Data,Gene Sequencing Data,Gen-Sequenzierungsdaten,Datos de secuenciación genética,Données de séquençage génétique,Dados de sequenciamento genético,Данные о секвенировании генов,Gene Sequencing Data
material.data.geneticresearch,Genetic Research,Genetic Research,Genforschung,Estudio genético,Recherches génétiques,Pesquisas genéticas,Материалы генетического исследования,Genetic Research
material.data.geologicaldata,Geological Data,Geological Data,Geologische Daten,Datos geológicos,Données géologiques,Dados geológicos,Геологические данные,Geological Data
material.data.hydroponicdata,Hydroponic Data,Hydroponic Data,Hydrokultur-Daten,Datos hidropónicos,Données hydroponiques,Dados de hidroponia,Данные о гидропонике,Hydroponic Data
material.data.incidentlogs,Incident Logs,Incident Logs,Zwischenfall-Logs,Registros de incidentes,Journaux d’incidents,Registros de incidentes,Журнал событий,Incident Logs
material.data.influenceprojections,Influence Projections,Influence Projections,Einfluss-Projektionen,Previsiones de influencia,Perspectives,Projeções de influência,Прогноз влияния,Influence Projections
material.data.internalcorrespondence,Internal Correspondence,Internal Correspondence,Interne Korrespondenz,Correspondencia interna,Mémo interne,Correspondência interna,Внутренняя корреспонденция,Internal Correspondence
material.data.interrogationrecordings,Interrogation Recordings,Interrogation Recordings,Vernehmungsaufzeichnungen,Registros de interrogatorios,Enregistrements d’interrogatoires,Gravações de interrogatórios,Протоколы допроса,Interrogation Recordings
material.data.interviewrecordings,Interview Recordings,Interview Recordings,Aufzeichnungen von Vorstellungsgesprächen,Registros de entrevista,Enregistrements d’entretiens,Gravações de entrevistas,Результаты собеседования,Interview Recordings
material.data.jobapplications,Job Applications,Job Applications,Bewerbungen,Solicitudes de empleo,Candidatures professionnelles,Candidaturas para emprego,Заявления о приеме на работу,Job Applications
material.data.kompromat,Kompromat,Kompromat,Kompromittierendes Material,Material comprometedor,Kompromat,Kompromat,Компромат,Kompromat
material.data.literaryfiction,Literary Fiction,Literary Fiction,Belletristik,Ficción literaria,Romans,Ficção literária,Художественная литература,Literary Fiction
material.data.maintenancelogs,Maintenance Logs,Maintenance Logs,Wartungs-Logs,Registros de mantenimiento,Journaux de maintenance,Registros de manutenção,Журнал обслуживания,Maintenance Logs
material.data.manufacturinginstructions,Manufacturing Instructions,Manufacturing Instructions,Herstellungsanweisungen,Instrucciones de fabricación,Guides industriels,Instruções de fabricação,Производственные инструкции,Manufacturing Instructions
material.data.medicalrecords,Medical Records,Medical Records,Medizinische Daten,Historiales médicos,Dossiers médicaux,Registros médicos,Медицинские карты,Medical Records
material.data.medicaltrialrecords,Clinical Trial Records,Clinical Trial Records,Klinische Prüfberichte,Registros de ensayos clínicos,Essais cliniques,Registros de teste clínico,Результаты клинических испытаний,Clinical Trial Records
material.data.meetingminutes,Meeting Minutes,Meeting Minutes,Besprechungsprotokolle,Actas de reuniones,Compte-rendu de réunion,Ata de reunião,Протоколы заседаний,Meeting Minutes
