messageKey,,en,de,es,fr,pt,ru,zh_CN
tabs.shipeditor,Ship Editor,,,Editor de Naves,,Editor de naves,Редактор кораблей,Ship Editor
tabs.ships.blueprints,Blueprints,,,Plano,,Projetos,Чертежи,Blueprints
tabs.ships.experimental.effects,Experimental effects,,,Efectos Experimentales,,Efeitos experimentais,Экспериментальные эффекты,Experimental effects
tab.ships.create,Create ship,,,Crear nave,,Criar nave,Создать корабль,Create ship
tab.ships.clone,Clone ship,,,Clonar nave,,Clonar nave,Клонировать корабль,Clone ship
tab.ships.options,Options,Options,Optionen,Opciones,Options,Opções,Опции,Options
tab.ships.rename,Rename ship,,,Renombrar nave,,Renomear nave,Переименовать корабль,Rename ship
tab.ships.delete,Delete ship,,,Borrar nave,,Excluir nave,Удалить корабль,Delete ship
tab.ships.reset,Reset ship,,,Restablecer nave,,Redefinir nave,Сбросить корабль,Reset ship
tab.ships.rename.prompt,New name (max. 50 characters),New name (max. 50 characters),Neuer Name (max. 50 Zeichen),Nuevo nombre (máx.50 caracteres),Nouveau nom (max. 50 caractères),Novo nome (máx. 50 caracteres),Новое имя (макс.50 знаков),New name (max. 50 characters)
tab.ships.delete.confirm.content,Do you wish to continue?,Do you wish to continue?,Möchten Sie fortfahren?,¿Desea continuar?,Souhaitez-vous continuer?,Você deseja continuar?,Вы хотите продолжить?,Do you wish to continue?
tab.ships.delete.confirm.header,You are about to delete your ship,,,Estás a punto de borrar tu nave,,Você está prestes a excluir sua nave,Вы собираетесь удалить свой корабль,You are about to delete your ship
tab.ships.delete.confirm.title,Confirm deletion,Confirm deletion,Löschen bestätigen,Confirmar borrado,Confirmer la suppression,Confirmar exclusão,Подтвердить удаление,Confirm deletion
tab.ships.reset.confirm.content,All changes will be lost. Do you wish to continue?,,,Todos los cambios se perderán ¿Quieres continuar?,,Todas as alterações serão perdidas. Você deseja continuar?,Хотите продолжить?,All changes will be lost. Do you wish to continue?
tab.ships.reset.confirm.header,You are about to reset your ship,,,Estás a punto de restablecer tu nave,,Você está prestes a redefinir sua nave,Вы собираетесь сбросить свой корабль,You are about to reset your ship
tab.ships.reset.confirm.title,Confirm reset,,,Confirmar reinicio,,Confirmar redefinição,Подтвердить сброс,Confirm reset
tab.ships.copy,Copy ship to clipboard,,,Copiar nave al portapapeles,,Copiar nave para a área de transferência,Копировать корабль в буфер обмена,Copy ship to clipboard
ship.view.header.ship.name,Ship name,,,Nombre de la nave,,Nome da nave,Имя корабля,Ship name
ship.view.header.price,Price,,,Precio,,Preço,Цена,Price
ship.view.header.size,Size,,,Tamaño,,Tamanho,Размер,Size
ship.view.header.crew,Crew,,,Tripulación,,Tripulação,Размер экипажа,Crew
ship.view.header.masslock,Mass Lock,,,Bloqueo de masa,,Bloqueio de massa,Масс-фактор,Mass Lock
ship.view.header.mass,Mass,,,Masa,,Massa,Масса,Mass
ship.view.header.jumprange,Jumprange,,,Rango de salto,,Alcance de salto,Расстояние прыжка,Jumprange
ship.view.header.speed,Speed,,,Velocidad,,Velocidade,Скорость,Speed
ship.view.header.boost,Boost,,,Postquemador,,Impulso,Форсаж,Boost
ship.view.header.shield,Shield,,,Escudo,,Escudo,Щиты,Shield
ship.view.header.armor,Armor,,,Blindaje,,Blindagem,Броня,Armor
ship.view.header.hardness,Hardness,,,Dureza,,Dureza,Рейтинг брони,Hardness
ship.view.header.fuel,Fuel,,,Combustible,,Combustível,Топливный бак,Fuel
ship.view.header.cargo,Cargo,,,Capacidad de carga,,Carga,Груз,Cargo
ship.view.header.passenger,Passenger,,,Pasajero,,Passageiro,Пассажиры,Passenger
ship.view.header.slot.hardpoints,Hardpoints,,,Anclajes,,Encaixes,Оружейные гнезда,Hardpoints
ship.view.header.slot.utility,Utility,,,Anclajes de Apoyo,,Utilitário,Внешнее оборудование,Utility
ship.view.header.slot.armour,ARM,,,ARM,,BLIND,БРН,ARM
ship.view.header.slot.powerplant,PP,,,ENER,,ENERG,СУ,PP
ship.view.header.slot.thrusters,THR,,,IMP,,PROP,ДВГ,THR
ship.view.header.slot.frameshiftdrive,FSD,,,MDD,,MDD,ФСД,FSD
ship.view.header.slot.lifesupport,LS,,,SV,,SuVida,СЖО,LS
ship.view.header.slot.powerdistribution,PD,,,DE,,DIST,РП,PD
ship.view.header.slot.sensors,SNR,,,SEN,,SEN,СНС,SNR
ship.view.header.slot.fueltank,FT,,,COMB,,COMB,ТБ,FT
ship.view.header.slot.optional,Optional,,,Opcional,,Opcional,Внутр. модули,Optional
ship.blueprint.add.all.to.wishlist,Add all to wishlist,Add all to wishlist,Fügen Sie alle zur Wunschliste hinzu,Agregar todo a la lista de deseos,Ajouter tout à WishList,Adicionar tudo à lista de desejos,Добавить все в список желаемого,Add all to wishlist
ship.blueprint.add.changed.to.wishlist,Add changed to wishlist,,,Agregar los cambios a la lista de deseos,,Adicionar alterado à lista de desejos,Добавить измененное в список желаемого,Add changed to wishlist
ship.create.new.wishlist,Create new,Create new,Erstelle neu,Crear nuevo,Créer un nouveau,Criar novo,Создать новый,Create new
ship.module.buttons.label,Equipped module,,,Módulo equipado,,Módulo equipado,Снаряженный модуль,Equipped module
ship.module.restore,Restore,,,Restaurar,,Restaurar,Восстановить,Restore
ship.module.save,Save,,,Guardar,,Salvar,Сохранить,Save
ship.module.clear,Clear,,,Limpiar,,Limpar,Очистить,Clear
module.details.save.legacy,Save legacy,,,Guardar Legacy,,Salvar legado,Схранить Legacy,Save legacy
tab.settings.ships.legacy.modules.name,Name,,,Nombre,,Nome,Имя,Name
tab.settings.ships.legacy.modules.blueprint,Blueprint,,,Plano,,Projeto,Чертеж,Blueprint
tab.settings.ships.legacy.modules.effect,Experimental effect,,,Efecto Experimental,,Efeito experimental,Экспериментальный эффект,Experimental effect
tab.settings.ships.legacy.modules.grade,Grade,,,Grado,,Grau,Уровень,Grade
tab.settings.ships.legacy.modules.type,Type,,,Tipo,,Tipo,Тип,Type
tab.ships.dragdrop.hint,Drag & drop,,,Arrastrar y soltar,,Arrastar e soltar,,Drag & drop
tab.ships.dragdrop.hint.explain,"You can drag modules into different slots. If you hold CTRL while dragging, the module will be copied instead of moved.",,,"Puedes arrastrar módulos en diferentes ranuras. Si mantienes la tecla CTRL al arrastrar, el módulo sera copiado en vez de movido",,"Você pode arrastar módulos para diferentes slots. Se você segurar CTRL enquanto arrasta, o módulo será copiado em vez de movido.","Вы можете перетаскивать модули в разные слоты. Зажав CTRL во время перетягивания, вы скопируете модуль.","You can drag modules into different slots. If you hold CTRL while dragging, the module will be copied instead of moved."
tab.ships.lockmode.hint,Lock mode,,,Modo bloqueado,,Modo de bloqueio,Режим блокировки,Lock mode
tab.ships.lockmode.hint.explain,"By pressing ALT you can freeze the UI, so you can move your mouse freely around.",,,Pulsando ALT puedes congelar la interfaz pudiendo mover el ratón libremente.,,"Ao pressionar ALT, você pode congelar a IU, o que permite mover o mouse livremente.",Зажав ALT вы можете заморозить интерфейс и свободно двигать мышкой.,"By pressing ALT you can freeze the UI, so you can move your mouse freely around."
tab.ships.legacy.hint,Legacy,,,Legacy,,Legado,Режим Legacy,Legacy
tab.ships.legacy.hint.explain,Legacy modules can be stored for later reuse with the button that will be visible above the module specs. Legacy modules can be managed under Settings.,,,Los módulos legacy pueden ser almacenados para ser reutilizados posteriormente con el botón que estará visible sobre las especificaciones del módulo. Los módulos Legacy pueden ser administraos en Ajustes.,,Módulos legados podem ser armazenados para reutilização posterior com o botão que ficará visível acima das especificações do módulo. Módulos legados podem ser gerenciados em Configurações.,"Модули Legacy можно сохранить для последующего повторного использования с помощью кнопки, которая будет видна над спецификациями модуля. Модулями Legacy можно управлять в Настройках.",Legacy modules can be stored for later reuse with the button that will be visible above the module specs. Legacy modules can be managed under Settings.
tab.ships.livemode.hint,Live mode,,,Modo LIVE,,Modo ao vivo,Режим Live,Live mode
tab.ships.livemode.hint.explain,Live mode will autoconfigure the settings to match the current state in-game. This only works for the current ship.,,,El Modo LIVE se autoconfigurará en ajustes para coincidir con el estado actual del juego. Esto solo funciona para la nave actual.,,O modo ao vivo irá autoconfigurar as configurações para corresponder ao estado atual no jogo. Isso só funciona para a nave atual.,"Live mode автоматически установит настройки, чтобы повторить нынешнее состояние в игре. Это работает только для активного корабля.",Live mode will autoconfigure the settings to match the current state in-game. This only works for the current ship.
tab.ships.yellowblue.hint,Yellow & blue,,,Amarillo y Azul,,Amarelo e azul,Желтое и синее,Yellow & blue
tab.ships.yellowblue.hint.explain,"Module changes can be tracked. If a module is set as equipped, it will be colored in yellow. Any changes will turn the color to blue. These changes are considered when creating a wishlist.",,,"Los cambios de módulos puedes ser rastreados.Si un módulo se establece como equipado, este será resaktadi eb anarillo. Cualquier cambio cambiara su color a azul. Estos cambios son considerados cuando se crea una lista de deseos.",,"As alterações do módulo podem ser rastreadas. Se um módulo for definido como equipado, ele será colorido em amarelo. Quaisquer alterações mudarão a cor para azul. Essas alterações são consideradas ao criar uma lista de desejos.","Изменения модуля можно отслеживать. Если модуль установлен как оснащенный на корабле, он будет окрашен в желтый цвет. Любые изменения изменят цвет на синий. Эти изменения учитываются при создании списка желаемого.","Module changes can be tracked. If a module is set as equipped, it will be colored in yellow. Any changes will turn the color to blue. These changes are considered when creating a wishlist."
