messageKey,,en,de,es,fr,pt,ru,zh_CN
tab.settings.commander,Commander,Commander,Kommandant,Comandante,Commandant,Comandante,Командир,Commander
tab.settings.journal.folder.select,Select Directory,Select Directory,Verzeichnis auswählen,Seleccionar directorio,Sélectionner un répertoire,Selecione o diretório,Выбрать каталог,Select Directory
tab.settings.journal.folder,Journal Folder,Journal Folder,Journalordner,Carpeta del diario,Dossier du journal,Caminho do Journal,Каталог с логом игры,Journal Folder
tab.settings.language,Language,Language,Sprache,Idioma,Langue,Idioma,Язык,Language
tab.settings.material.override.add,Add,Add,Hinzufügen,Agregar,Ajouter,Adicionar,Добавить,Add
tab.settings.material.override.list,These materials are considered relevant,These materials are considered relevant,Diese Materialien gelten als relevant,Estos materiales se consideran relevantes,Ces matériaux sont considérés comme pertinents,Estes materiais são considerados relevantes,Эти материалы считаются нужными,These materials are considered relevant
tab.settings.material.override.remove,Remove,Remove,Entfernen,Eliminar,Supprimer,Remover,Удалить,Remove
tab.settings.material.override,Override materials,Override materials,Materialien überschreiben,Anular materiales,Remplacer les matériaux,Substituir materiais,Переопределить материалы,Override materials
tab.settings.notification.play,Play,Play,Spielen,Reproducir,Jouer,Jogar,Играть,Play
tab.settings.notification.sound.clear,Clear,Clear,Löschen,Borrar,Effacer,Limpar,Очистить,Clear
tab.settings.notification.sound.custom,{0},{0},{0},{0},{0},{0},{0},{0}
tab.settings.notification.header.enabled,Enabled,Enabled,Ermöglicht,Activado,Activé,Habilitado,Включено,Enabled
tab.settings.notification.header.notification,Notification,Notification,Benachrichtigung,Notificación,Notification,Notificação,Уведомления,Notification
tab.settings.notification.sound.select,Select File,Select File,Datei auswählen,Seleccionar archivo,Sélectionner un fichier,Selecionar Arquivo,Выбрать файл,Select File
tab.settings.notification.volume,Notification volume,Notification volume,Benachrichtigungsvolumen,Volumen de notificación,Volume de notification,Volume de notificação,Громкость уведомления,Notification volume
